271 6 [271,sz=6]sp=0 ruling out slots (13 and 23)
272 6 [272,sz=6]sp=0 ruling out slots (13 and 24)
273 6 [273,sz=6]sp=0 ruling out slots (14 and 15)
274 6 [274,sz=6]sp=0 ruling out slots (14 and 16)
275 6 [275,sz=6]sp=0 ruling out slots (14 and 17)
276 6 [276,sz=6]sp=0 ruling out slots (14 and 18)
277 6 [277,sz=6]sp=0 ruling out slots (14 and 19)
278 6 [278,sz=6]sp=0 ruling out slots (14 and 20)
279 6 [279,sz=6]sp=0 ruling out slots (14 and 21)
280 6 [280,sz=6]sp=0 ruling out slots (14 and 22)
281 6 [281,sz=6]sp=0 ruling out slots (14 and 23)
282 6 [282,sz=6]sp=0 ruling out slots (14 and 24)
283 6 [283,sz=6]sp=0 ruling out slots (14 and 25)
284 6 [284,sz=6]sp=0 ruling out slots (15 and 16)
285 6 [285,sz=6]sp=0 ruling out slots (15 and 17)
286 6 [286,sz=6]sp=0 ruling out slots (15 and 18)
287 6 [287,sz=6]sp=0 ruling out slots (15 and 19)
288 6 [288,sz=6]sp=0 ruling out slots (15 and 20)
289 6 [289,sz=6]sp=0 ruling out slots (15 and 21)
290 6 [290,sz=6]sp=0 ruling out slots (15 and 22)
291 6 [291,sz=6]sp=0 ruling out slots (15 and 23)
292 6 [292,sz=6]sp=0 ruling out slots (15 and 24)
293 6 [293,sz=6]sp=0 ruling out slots (15 and 25)
294 6 [294,sz=6]sp=0 ruling out slots (15 and 0)
295 6 [295,sz=6]sp=0 ruling out slots (16 and 17)
296 6 [296,sz=6]sp=0 ruling out slots (16 and 18)
297 6 [297,sz=6]sp=0 ruling out slots (16 and 19)
298 6 [298,sz=6]sp=0 ruling out slots (16 and 20)
299 6 [299,sz=6]sp=0 ruling out slots (16 and 21)
300 6 [300,sz=6]sp=0 ruling out slots (16 and 22)
301 6 [301,sz=6]sp=0 ruling out slots (16 and 23)
302 6 [302,sz=6]sp=0 ruling out slots (16 and 24)
303 6 [303,sz=6]sp=0 ruling out slots (16 and 25)
304 6 [304,sz=6]sp=0 ruling out slots (16 and 0)
305 6 [305,sz=6]sp=0 ruling out slots (16 and 1)
306 6 [306,sz=6]sp=0 ruling out slots (17 and 18)
307 6 [307,sz=6]sp=0 ruling out slots (17 and 19)
308 6 [308,sz=6]sp=0 ruling out slots (17 and 20)
309 6 [309,sz=6]sp=0 ruling out slots (17 and 21)
310 6 [310,sz=6]sp=0 ruling out slots (17 and 22)
311 6 [311,sz=6]sp=0 ruling out slots (17 and 23)
312 6 [312,sz=6]sp=0 ruling out slots (17 and 24)
313 6 [313,sz=6]sp=0 ruling out slots (17 and 25)
314 6 [314,sz=6]sp=0 ruling out slots (17 and 0)
315 6 [315,sz=6]sp=0 ruling out slots (17 and 1)
316 6 [316,sz=6]sp=0 ruling out slots (17 and 2)
317 6 [317,sz=6]sp=0 ruling out slots (18 and 19)
318 6 [318,sz=6]sp=0 ruling out slots (18 and 20)
319 6 [319,sz=6]sp=0 ruling out slots (18 and 21)
320 6 [320,sz=6]sp=0 ruling out slots (18 and 22)
321 6 [321,sz=6]sp=0 ruling out slots (18 and 23)
322 6 [322,sz=6]sp=0 ruling out slots (18 and 24)
323 6 [323,sz=6]sp=0 ruling out slots (18 and 25)
324 6 [324,sz=6]sp=0 ruling out slots (18 and 0)
325 6 [325,sz=6]sp=0 ruling out slots (18 and 1)
326 6 [326,sz=6]sp=0 ruling out slots (18 and 2)
327 6 [327,sz=6]sp=0 ruling out slots (18 and 3)
328 6 [328,sz=6]sp=0 ruling out slots (19 and 20)
329 6 [329,sz=6]sp=0 ruling out slots (19 and 21)
330 6 [330,sz=6]sp=0 ruling out slots (19 and 22)
331 6 [331,sz=6]sp=0 ruling out slots (19 and 23)
332 6 [332,sz=6]sp=0 ruling out slots (19 and 24)
333 6 [333,sz=6]sp=0 ruling out slots (19 and 25)
334 6 [334,sz=6]sp=0 ruling out slots (19 and 0)
335 6 [335,sz=6]sp=0 ruling out slots (19 and 1)
336 6 [336,sz=6]sp=0 ruling out slots (19 and 2)
337 6 [337,sz=6]sp=0 ruling out slots (19 and 3)
338 6 [338,sz=6]sp=0 ruling out slots (19 and 4)
339 6 [339,sz=6]sp=0 ruling out slots (20 and 21)
340 6 [340,sz=6]sp=0 ruling out slots (20 and 22)
341 6 [341,sz=6]sp=0 ruling out slots (20 and 23)
342 6 [342,sz=6]sp=0 ruling out slots (20 and 24)
343 6 [343,sz=6]sp=0 ruling out slots (20 and 25)
344 6 [344,sz=6]sp=0 ruling out slots (20 and 0)
345 6 [345,sz=6]sp=0 ruling out slots (20 and 1)
346 6 [346,sz=6]sp=0 ruling out slots (20 and 2)
347 6 [347,sz=6]sp=0 ruling out slots (20 and 3)
348 6 [348,sz=6]sp=0 ruling out slots (20 and 4)
349 6 [349,sz=6]sp=0 ruling out slots (20 and 5)
350 6 [350,sz=6]sp=0 ruling out slots (21 and 22)
351 6 [351,sz=6]sp=0 ruling out slots (21 and 23)
352 6 [352,sz=6]sp=0 ruling out slots (21 and 24)
353 6 [353,sz=6]sp=0 ruling out slots (21 and 25)
354 6 [354,sz=6]sp=0 ruling out slots (21 and 0)
355 6 [355,sz=6]sp=0 ruling out slots (21 and 1)
356 6 [356,sz=6]sp=0 ruling out slots (21 and 2)
357 6 [357,sz=6]sp=0 ruling out slots (21 and 3)
358 6 [358,sz=6]sp=0 ruling out slots (21 and 4)
359 6 [359,sz=6]sp=0 ruling out slots (21 and 5)
360 6 [360,sz=6]sp=0 ruling out slots (21 and 6)
361 6 [361,sz=6]sp=0 ruling out slots (22 and 23)
362 6 [362,sz=6]sp=0 ruling out slots (22 and 24)
363 6 [363,sz=6]sp=0 ruling out slots (22 and 25)
364 6 [364,sz=6]sp=0 ruling out slots (22 and 0)
365 6 [365,sz=6]sp=0 ruling out slots (22 and 1)
366 6 [366,sz=6]sp=0 ruling out slots (22 and 2)
367 6 [367,sz=6]sp=0 ruling out slots (22 and 3)
368 6 [368,sz=6]sp=0 ruling out slots (22 and 4)
369 6 [369,sz=6]sp=0 ruling out slots (22 and 5)
370 6 [370,sz=6]sp=0 ruling out slots (22 and 6)
371 6 [371,sz=6]sp=0 ruling out slots (22 and 7)
372 6 [372,sz=6]sp=0 ruling out slots (23 and 24)
373 6 [373,sz=6]sp=0 ruling out slots (23 and 25)
374 6 [374,sz=6]sp=0 ruling out slots (23 and 0)
375 6 [375,sz=6]sp=0 ruling out slots (23 and 1)
376 6 [376,sz=6]sp=0 ruling out slots (23 and 2)
377 6 [377,sz=6]sp=0 ruling out slots (23 and 3)
378 6 [378,sz=6]sp=0 ruling out slots (23 and 4)
379 6 [379,sz=6]sp=0 ruling out slots (23 and 5)
380 6 [380,sz=6]sp=0 ruling out slots (23 and 6)
381 6 [381,sz=6]sp=0 ruling out slots (23 and 7)
382 6 [382,sz=6]sp=0 ruling out slots (23 and 8)
383 6 [383,sz=6]sp=0 ruling out slots (24 and 25)
384 6 [384,sz=6]sp=0 ruling out slots (24 and 0)
385 6 [385,sz=6]sp=0 ruling out slots (24 and 1)
386 6 [386,sz=6]sp=0 ruling out slots (24 and 2)
387 6 [387,sz=6]sp=0 ruling out slots (24 and 3)
388 6 [388,sz=6]sp=0 ruling out slots (24 and 4)
389 6 [389,sz=6]sp=0 ruling out slots (24 and 5)
390 6 [390,sz=6]sp=0 ruling out slots (24 and 6)
391 6 [391,sz=6]sp=0 ruling out slots (24 and 7)
392 6 [392,sz=6]sp=0 ruling out slots (24 and 8)
393 6 [393,sz=6]sp=0 ruling out slots (24 and 9)
394 6 [394,sz=6]sp=0 ruling out slots (25 and 0)
395 6 [395,sz=6]sp=0 ruling out slots (25 and 1)
396 6 [396,sz=6]sp=0 ruling out slots (25 and 2)
397 6 [397,sz=6]sp=0 ruling out slots (25 and 3)
398 6 [398,sz=6]sp=0 ruling out slots (25 and 4)
399 6 [399,sz=6]sp=0 ruling out slots (25 and 5)
400 6 [400,sz=6]sp=0 ruling out slots (25 and 6)
401 6 [401,sz=6]sp=0 ruling out slots (25 and 7)
402 6 [402,sz=6]sp=0 ruling out slots (25 and 8)
403 6 [403,sz=6]sp=0 ruling out slots (25 and 9)
404 6 [404,sz=6]sp=0 ruling out slots (25 and 10)
405 8 [405,sz=8]sp=0 has slot 0 -> has slot in [12,14])
406 8 [406,sz=8]sp=0 has slot 1 -> has slot in [13,15])
407 8 [407,sz=8]sp=0 has slot 2 -> has slot in [14,16])
408 8 [408,sz=8]sp=0 has slot 3 -> has slot in [15,17])
409 8 [409,sz=8]sp=0 has slot 4 -> has slot in [16,18])
410 8 [410,sz=8]sp=0 has slot 5 -> has slot in [17,19])
411 8 [411,sz=8]sp=0 has slot 6 -> has slot in [18,20])
412 8 [412,sz=8]sp=0 has slot 7 -> has slot in [19,21])
413 8 [413,sz=8]sp=0 has slot 8 -> has slot in [20,22])
414 8 [414,sz=8]sp=0 has slot 9 -> has slot in [21,23])
415 8 [415,sz=8]sp=0 has slot 10 -> has slot in [22,24])
416 8 [416,sz=8]sp=0 has slot 11 -> has slot in [23,25])
417 8 [417,sz=8]sp=0 has slot 12 -> has slot in [24,26])
418 8 [418,sz=8]sp=0 has slot 13 -> has slot in [25,27])
419 10 [419,sz=10]sp=0 has slot 14 -> has slot in [26,28])
