Module Name,Unit,Block Name,Ports,Inferred Type,Freq[Mhz],Lines,Width,Protection,Total Signature Bits,Write Segment Size,Instantiations,Init,Interleaving,Protection Resolution,Write Segment W/O Signature Size,Width W/O Signature,Type,Words|Number of Rules, Bits/Word,Bit Enable|Slice Enable,Folded,Column Mux,Redundancy,Rows,Columns,Total Instances,Name
mem_igr_post_queue_ram_shell_192x52,igr_post_queue_ram,igr,1r1w,RF,1225,192,52,None,0,52,8,No,1,,52,52,RF,192,,0,0,0,0,1,1,1,
mem_igr_ppe_aside_ram_shell_1024x104,igr_ppe_aside_ram,igr,1r1w,RF,1225,1024,104,None,0,104,8,No,1,,104,104,RF,1024,,0,0,0,0,1,1,1,
mem_igr_ptr_cache_ram_shell_128x56,igr_ptr_cache_ram,igr,1r1w,RF,1225,128,56,None,0,56,2,No,1,,56,56,RF,128,,0,0,0,0,1,1,1,
mem_igr_tag_aside_ram_shell_1024x104,igr_tag_aside_ram,igr,1r1w,RF,1225,1024,104,None,0,104,8,No,1,,104,104,RF,1024,,0,0,0,0,1,1,1,
mem_igr_tag_collate_ram_shell_2064x60,igr_tag_collate_ram,igr,1r1w,RF,1225,2064,60,None,0,60,20,No,1,,60,60,RF,2064,,0,0,0,0,1,1,1,
mem_igr_tag_mesh_ram_shell_768x600,igr_tag_mesh_ram,igr,1r1w,RF,1225,768,600,None,0,600,2,No,1,,600,600,RF,768,,0,0,0,0,1,1,1,
mem_igr_tc_map_ram_shell_256x72,igr_tc_map_ram,igr,1rw,RF,1225,256,72,None,0,72,2,No,1,,72,72,RF,256,,0,0,0,0,1,1,1,
mem_igr_vp_ram_shell_320x72,igr_vp_ram,igr,1r1w,RF,1225,320,72,None,0,72,18,No,1,,72,72,RF,320,,0,0,0,0,1,1,1,
mem_lpm_tree_state_shell_512x296,lpm_tree_state,class_gpa,1rw,SRAM,1225,512,336,ECC,40,336,96,No,1,64,296,296,SRAM,512,,0,0,0,0,1,1,1,
mem_map_domain_action0_shell_4096x64,map_domain_action0,class_gpa,1rw,SRAM,1225,4096,72,ECC,8,72,1,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_map_domain_action1_shell_4096x64,map_domain_action1,class_gpa,1rw,SRAM,1225,4096,72,ECC,8,72,1,No,1,64,64,64,SRAM,4096,,0,0,0,0,1,1,1,
mem_map_domain_pol_cfg_shell_1x64,map_domain_pol_cfg,class_gpa,1r1w,FLOPS,1225,1,72,ECC,8,72,1,No,1,64,64,64,FLOPS,1,,0,0,0,0,1,1,1,
